,T6,,,,,,,,,T8,,,,,,,,
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
Frame,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
116,-69.4765,-97.4943,1721.78,-81.3096,-83.3132,1706.19,-62.8604,-89.5979,1699.29,57.0916,138.143,1731.25,61.0317,136.986,1712.69,40.3744,142.051,1720.27
117,-73.8388,-101.235,1722.33,-85.5029,-87.1557,1706.78,-66.7141,-92.8187,1699.96,56.426,135.327,1731.77,60.7135,134.31,1713.29,40.2976,139.67,1720.72
118,-75.9892,-103.059,1722.62,-87.6102,-88.3617,1707.23,-69.19,-95.0746,1700.19,56.1989,132.564,1732.6,60.2218,131.408,1714.17,39.6251,136.919,1721.64
119,-80.3549,-106.504,1723.04,-91.7994,-91.5917,1707.79,-73.5478,-98.3504,1700.74,55.5917,129.592,1733.51,59.8956,128.531,1714.84,39.1158,133.92,1722.6
120,-82.6549,-108.138,1723.28,-93.9901,-93.0205,1708.1,-75.767,-99.8997,1700.94,55.1769,126.636,1734.21,59.0851,125.757,1715.56,38.6177,131.324,1723.41
121,-84.9167,-109.632,1723.5,-96.1806,-94.3964,1708.37,-77.9791,-101.293,1701.19,54.446,123.8,1735,58.6741,123.037,1716.4,38.1995,128.569,1723.93
122,-87.2712,-111.006,1723.72,-98.4495,-95.6472,1708.68,-80.2709,-102.688,1701.47,54.1671,120.964,1735.87,58.0233,120.156,1717.27,37.5887,125.831,1724.87
123,-89.7049,-112.473,1724,-100.777,-96.9828,1709.01,-82.2362,-103.609,1701.81,53.3393,118.061,1736.76,57.6693,117.344,1718.15,37.1547,123.091,1726.01
124,-91.9881,-113.761,1724.34,-102.974,-98.1342,1709.38,-84.9004,-105.179,1702.18,52.9243,115.256,1737.73,56.8425,114.48,1719.02,36.486,120.324,1726.76
125,-94.2979,-114.893,1724.64,-105.251,-99.1987,1709.91,-87.3571,-106.356,1702.51,52.1487,112.23,1738.61,56.3284,111.78,1720.01,35.9654,117.545,1727.97
126,-96.6454,-115.96,1724.94,-107.545,-100.2,1710.23,-89.6127,-107.341,1702.92,51.5004,109.484,1739.66,55.4613,108.825,1721.04,35.3328,114.661,1728.95
127,-98.9455,-116.865,1725.35,-109.877,-100.914,1710.7,-91.9232,-108.109,1703.31,50.8076,106.367,1740.41,54.9082,106.106,1721.86,34.5564,112.027,1729.83
128,-101.287,-117.546,1725.78,-112.336,-101.564,1711.26,-94.0378,-108.474,1703.7,49.8179,103.487,1741.63,54.0536,103.25,1722.9,33.6348,109.242,1730.88
129,-103.753,-118.148,1726.29,-114.692,-102.061,1711.77,-96.6985,-109.335,1704.17,49.1037,100.618,1742.58,53.0933,100.453,1723.91,33.0021,106.582,1731.86
130,-106.204,-118.499,1726.74,-116.981,-102.253,1712.24,-99.063,-109.717,1704.75,47.8508,97.8492,1743.38,52.1312,97.7382,1724.68,31.7382,103.853,1732.85
131,-108.673,-118.726,1727.34,-119.41,-102.407,1712.99,-101.595,-109.923,1705.35,47.0129,95.1454,1744.25,50.9818,94.9576,1725.71,30.9277,101.112,1733.65
132,-111.239,-118.795,1728.05,-121.886,-102.297,1713.63,-104.081,-109.948,1706.1,46.1131,92.3148,1745.31,50.0408,92.2226,1726.62,29.9144,98.5271,1734.79
133,-113.756,-118.737,1728.86,-124.339,-102.186,1714.46,-106.588,-109.841,1706.86,44.8562,89.4323,1746.19,48.9832,89.4035,1727.6,28.8737,95.8153,1735.72
134,-116.393,-118.517,1729.66,-126.74,-101.839,1715.35,-109.155,-109.704,1707.75,44.1812,86.7775,1746.95,47.8974,86.6232,1728.46,28.0737,93.2712,1736.39
135,-119.132,-118.179,1730.59,-129.315,-101.521,1716.31,-111.706,-109.454,1708.68,42.7399,83.5129,1748.05,46.8558,83.8589,1729.41,26.7508,90.3779,1737.63
136,-121.875,-117.668,1731.52,-131.887,-100.994,1717.31,-114.383,-109.113,1709.69,41.6744,80.9601,1748.99,45.6153,81.0346,1730.43,25.8137,87.7643,1738.67
137,-124.619,-117.095,1732.66,-134.619,-100.389,1718.48,-117.011,-108.571,1710.76,40.9231,78.2743,1749.87,44.5527,78.4244,1731.29,24.7417,85.2562,1739.56
138,-127.356,-116.298,1733.8,-137.027,-99.5548,1719.48,-119.666,-107.817,1711.9,39.3071,75.4898,1750.77,43.2846,75.7936,1732.16,23.3025,82.5377,1740.53
139,-130.028,-115.466,1734.97,-139.607,-98.5705,1720.56,-122.408,-107.098,1713.05,38.0697,72.6857,1751.87,42.0387,73.2029,1733.27,22.3787,80.1319,1741.68
140,-132.796,-114.476,1736.21,-142.402,-97.6546,1721.71,-125.241,-106.256,1714.23,36.9221,70.2471,1752.79,40.8121,70.7089,1734.1,20.9206,77.702,1742.59
141,-135.427,-113.285,1737.35,-144.991,-96.4638,1722.74,-127.762,-105.1,1715.36,35.2414,67.6302,1753.52,39.4136,68.2388,1734.97,19.4096,75.2133,1743.45
142,-138.093,-111.943,1738.59,-147.522,-94.9932,1724.03,-130.469,-103.983,1716.6,33.831,65.1774,1754.61,37.9467,65.7649,1735.94,18.3433,72.8634,1744.36
143,-140.82,-110.426,1739.89,-150.081,-93.4934,1725.29,-133.108,-102.62,1717.77,32.5276,62.7141,1755.48,36.7839,63.404,1736.81,16.9149,70.5237,1745.48
